username,description,tags,id,original_sound_path,name,license,preview_url,type,wav_sound_path,pack,bpm
Ongitak,"A 1-bar 4/4 bass loop, at 100 bpm.","['bar', 'bass', 'loop', 'synth']",114688,/audio/original/114688.wav,4_4 Bass Loop 1.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/114/114688_2005415-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/114688.wav,https://www.freesound.org/apiv2/packs/7475/,100
M-RED,A 83 BPM Hip-Hop loop created with FL-Studio 6 XXL.This loop is a basic loop with no scratching.Good for cutting out sound or speeding up.This Loop uses some sounds played in reverse (like the snare or the Bass),"['83bpm', 'base', 'bass', 'beat', 'hip-hop', 'hiphop', 'loop', 'massive', 'rap', 'slow']",40962,/audio/original/40962.wav,Drop_da_Beat_83BPM.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/40/40962_399326-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/40962.wav,https://www.freesound.org/apiv2/packs/2488/,83
tyops,Crystal sound sample. 140 bpm. Software: Cubase 5(midi file),"['mystery', 'loop', 'tech', 'futuristic', 'suspense', 'crystal', 'sample', 'effect', 'fx', 'dark', 'sound']",253959,/audio/original/253959.mp3,Crystal Sound Sample,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/253/253959_3914271-hq.mp3,mp3,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/253959.wav,https://www.freesound.org/apiv2/packs/14492/,140
Hivo42,"Enjoy. Background noise = tliedes's freesound ""c-casette_noise"" from here: <a href=""http://www.freesound.org/people/tliedes/sounds/56334/"" rel=""nofollow"">http://www.freesound.org/people/tliedes/sounds/56334/</a> in case you'll make some thing out of it (or with it), i would like to hear it :) Peace.","['lo-fi', 'naked', 'loop', 'trip-hop', '130bpm']",204802,/audio/original/204802.wav,trippy drum loop 130bpm,http://creativecommons.org/licenses/by-nc/3.0/,https://www.freesound.org/data/previews/204/204802_3246737-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/204802.wav,,130
RytmenPinnen,Acoustic drumloop recorded at 110bpm with the h4n handy recorder as overhead and a homemade kick mic.,"['acoustic', 'drumloop', 'drums', 'h4n', 'loop']",102021,/audio/original/102021.wav,Hihat8 2m 110bpm.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/102/102021_401166-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/102021.wav,https://www.freesound.org/apiv2/packs/6504/,110
Jovica,"High resonant frequencies in an arpeggiated way at 100 BPM, 4 measures long at 4/4. Very rhythmic and groovy! All done on my Virus TI. Sequencing done within Cubase 5, audio editing within Wavelab 6.","['100bpm', 'groove', 'loop', 'multisample', 'rhytmic', 'sequence']",118388,/audio/original/118388.flac,THE REAL VIRUS 04 - RESONANT FREQUENCY LOOP 100 BPM 4_4 - G#3.flac,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/118/118388_2518-hq.mp3,flac,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/118388.wav,https://www.freesound.org/apiv2/packs/7435/,100
pitx,Loop made with a simple sampler with the file muted_guitar_C.wav. 120 bpm. Light delay.,"['120-bpm', 'clean', 'dry', 'electric', 'guitar', 'loop', 'muted']",16404,/audio/original/16404.wav,muted_guitar_loop_120.wav,http://creativecommons.org/licenses/by-nc/3.0/,https://www.freesound.org/data/previews/16/16404_40665-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/16404.wav,https://www.freesound.org/apiv2/packs/898/,120
Ongitak,"Another low bass loop, at 100 bpm.","['bass', 'dubstep', 'loop', 'low', 'sub', 'wobble']",114709,/audio/original/114709.wav,Dubstep Bass Loop 22.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/114/114709_2005415-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/114709.wav,https://www.freesound.org/apiv2/packs/7287/,100
Ongitak,"Another low bass loop, at 100 bpm.","['bass', 'dubstep', 'loop', 'low', 'sub', 'wobble']",114710,/audio/original/114710.wav,Dubstep Bass Loop 23.wav,http://creativecommons.org/licenses/by/3.0/,https://www.freesound.org/data/previews/114/114710_2005415-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/114710.wav,https://www.freesound.org/apiv2/packs/7287/,100
tc630,Scratching loop,"['80', 'bpm', 'loop', 'record', 'scrach']",63405,/audio/original/63405.wav,stuped scrach22.wav,http://creativecommons.org/publicdomain/zero/1.0/,https://www.freesound.org/data/previews/63/63405_538383-hq.mp3,wav,/Users/ffont/ResearchRepos/ffont-ismir2016/data/fsdataset/audio/wav/63405.wav,https://www.freesound.org/apiv2/packs/4083/,80
