Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/447 [00:00<?, ?it/s]Loading weights: 100%|██████████| 447/447 [00:00<00:00, 7078.47it/s]
Dataset: 2503 audios
  25/2503 | 1.27 audios/s | ETA 33 min
  50/2503 | 2.02 audios/s | ETA 20 min
  75/2503 | 2.39 audios/s | ETA 17 min
  100/2503 | 2.56 audios/s | ETA 16 min
  125/2503 | 2.75 audios/s | ETA 14 min
  150/2503 | 2.87 audios/s | ETA 14 min
  175/2503 | 3.03 audios/s | ETA 13 min
  200/2503 | 3.11 audios/s | ETA 12 min
  225/2503 | 3.19 audios/s | ETA 12 min
  250/2503 | 3.24 audios/s | ETA 12 min
  275/2503 | 3.28 audios/s | ETA 11 min
  300/2503 | 3.37 audios/s | ETA 11 min
  325/2503 | 3.38 audios/s | ETA 11 min
  350/2503 | 3.40 audios/s | ETA 11 min
  375/2503 | 3.40 audios/s | ETA 10 min
  400/2503 | 3.43 audios/s | ETA 10 min
  425/2503 | 3.49 audios/s | ETA 10 min
  450/2503 | 3.49 audios/s | ETA 10 min
  475/2503 | 3.49 audios/s | ETA 10 min
  500/2503 | 3.50 audios/s | ETA 10 min
  525/2503 | 3.53 audios/s | ETA 9 min
  550/2503 | 3.54 audios/s | ETA 9 min
  575/2503 | 3.53 audios/s | ETA 9 min
  600/2503 | 3.53 audios/s | ETA 9 min
  625/2503 | 3.54 audios/s | ETA 9 min
  650/2503 | 3.56 audios/s | ETA 9 min
  675/2503 | 3.56 audios/s | ETA 9 min
  700/2503 | 3.56 audios/s | ETA 8 min
  725/2503 | 3.55 audios/s | ETA 8 min
  750/2503 | 3.57 audios/s | ETA 8 min
  775/2503 | 3.55 audios/s | ETA 8 min
  800/2503 | 3.55 audios/s | ETA 8 min
  825/2503 | 3.54 audios/s | ETA 8 min
  850/2503 | 3.54 audios/s | ETA 8 min
  875/2503 | 3.56 audios/s | ETA 8 min
  900/2503 | 3.56 audios/s | ETA 8 min
  925/2503 | 3.56 audios/s | ETA 7 min
  950/2503 | 3.55 audios/s | ETA 7 min
  975/2503 | 3.56 audios/s | ETA 7 min
  1000/2503 | 3.56 audios/s | ETA 7 min
  1025/2503 | 3.56 audios/s | ETA 7 min
  1050/2503 | 3.56 audios/s | ETA 7 min
  1075/2503 | 3.56 audios/s | ETA 7 min
  1100/2503 | 3.57 audios/s | ETA 7 min
  1125/2503 | 3.57 audios/s | ETA 6 min
  1150/2503 | 3.57 audios/s | ETA 6 min
  1175/2503 | 3.58 audios/s | ETA 6 min
  1200/2503 | 3.59 audios/s | ETA 6 min
  1225/2503 | 3.58 audios/s | ETA 6 min
  1250/2503 | 3.58 audios/s | ETA 6 min
  1275/2503 | 3.58 audios/s | ETA 6 min
  1300/2503 | 3.58 audios/s | ETA 6 min
  1325/2503 | 3.59 audios/s | ETA 5 min
  1350/2503 | 3.59 audios/s | ETA 5 min
  1375/2503 | 3.59 audios/s | ETA 5 min
  1400/2503 | 3.59 audios/s | ETA 5 min
  1425/2503 | 3.60 audios/s | ETA 5 min
  1450/2503 | 3.59 audios/s | ETA 5 min
  1475/2503 | 3.59 audios/s | ETA 5 min
  1500/2503 | 3.59 audios/s | ETA 5 min
  1525/2503 | 3.59 audios/s | ETA 5 min
  1550/2503 | 3.60 audios/s | ETA 4 min
  1575/2503 | 3.59 audios/s | ETA 4 min
  1600/2503 | 3.59 audios/s | ETA 4 min
  1625/2503 | 3.59 audios/s | ETA 4 min
  1650/2503 | 3.59 audios/s | ETA 4 min
  1675/2503 | 3.59 audios/s | ETA 4 min
  1700/2503 | 3.59 audios/s | ETA 4 min
  1725/2503 | 3.59 audios/s | ETA 4 min
  1750/2503 | 3.58 audios/s | ETA 4 min
  1775/2503 | 3.59 audios/s | ETA 3 min
  1800/2503 | 3.59 audios/s | ETA 3 min
  1825/2503 | 3.58 audios/s | ETA 3 min
  1850/2503 | 3.58 audios/s | ETA 3 min
  1875/2503 | 3.58 audios/s | ETA 3 min
  1900/2503 | 3.58 audios/s | ETA 3 min
  1925/2503 | 3.58 audios/s | ETA 3 min
  1950/2503 | 3.57 audios/s | ETA 3 min
  1975/2503 | 3.58 audios/s | ETA 2 min
  2000/2503 | 3.58 audios/s | ETA 2 min
  2025/2503 | 3.57 audios/s | ETA 2 min
  2050/2503 | 3.57 audios/s | ETA 2 min
  2075/2503 | 3.57 audios/s | ETA 2 min
  2100/2503 | 3.57 audios/s | ETA 2 min
  2125/2503 | 3.57 audios/s | ETA 2 min
  2150/2503 | 3.56 audios/s | ETA 2 min
  2175/2503 | 3.56 audios/s | ETA 2 min
  2200/2503 | 3.56 audios/s | ETA 1 min
  2225/2503 | 3.56 audios/s | ETA 1 min
  2250/2503 | 3.56 audios/s | ETA 1 min
  2275/2503 | 3.55 audios/s | ETA 1 min
  2300/2503 | 3.56 audios/s | ETA 1 min
  2325/2503 | 3.55 audios/s | ETA 1 min
  2350/2503 | 3.55 audios/s | ETA 1 min
  2375/2503 | 3.54 audios/s | ETA 1 min
  2400/2503 | 3.55 audios/s | ETA 0 min
  2425/2503 | 3.54 audios/s | ETA 0 min
  2450/2503 | 3.54 audios/s | ETA 0 min
  2475/2503 | 3.53 audios/s | ETA 0 min
  2500/2503 | 3.54 audios/s | ETA 0 min

Extracción terminada: 2503 OK, 0 errores en 11.8 min
  backup: embeddings_output.json -> embeddings_output.json.pre_regen.bak
✓ /mnt/c/Users/Portátil/Documents/GitHub/Voice2Sample/Dataset/embeddings_output.json escrito con 2503 embeddings. Reinicia el backend.
